3200,Training Loss:,1.297665448873886e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3300,Training Loss:,1.2969964018338942e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3400,Training Loss:,1.296285518037621e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3500,Training Loss:,1.34141532726062e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3600,Training Loss:,1.2993841664865613e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3700,Training Loss:,1.2977852748008445e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3800,Training Loss:,1.296580762755184e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3900,Training Loss:,1.2954867543157889e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4000,Training Loss:,1.2944011587023851e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4100,Training Loss:,1.2932714525959454e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4200,Training Loss:,1.2920635299451533e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4300,Training Loss:,1.2907496511616046e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4400,Training Loss:,1.3034537005296443e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4500,Training Loss:,1.295873857998231e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4600,Training Loss:,1.2929584727316978e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4700,Training Loss:,1.2906840538562392e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4800,Training Loss:,1.2885227533843135e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4900,Training Loss:,1.3265492952996283e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
5000,Training Loss:,1.2943850151714287e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
5100,Training Loss:,1.290198156311817e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
5200,Training Loss:,1.2869252259406494e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
5300,Training Loss:,1.2837400618082029e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
5400,Training Loss:,1.8913070789494668e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
5500,Training Loss:,0.09788990020751953,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
5600,Training Loss:,0.0022323145531117916,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
5700,Training Loss:,0.0009434336097911,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
5800,Training Loss:,0.0005896586226299405,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
5900,Training Loss:,0.00042026781011372805,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
6000,Training Loss:,0.00032129939063452184,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
6100,Training Loss:,0.0002556459221523255,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
6200,Training Loss:,0.00020911800675094128,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
6300,Training Loss:,0.000174976114067249,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
6400,Training Loss:,0.00014925877621863037,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
6500,Training Loss:,0.0001294011017307639,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
6600,Training Loss:,0.00011366217950126156,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
6700,Training Loss:,0.00010086294787470251,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
6800,Training Loss:,9.022667654789984e-05,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
6900,Training Loss:,8.123904990497977e-05,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
7000,Training Loss:,7.354620174737647e-05,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
7100,Training Loss:,6.6893917392008e-05,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
7200,Training Loss:,6.109246896812692e-05,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
