Epoch:,3400,Training Loss:,8.611509049447196, Learning rate:,8.488012499999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,3500,Training Loss:,8.611506165948649, Learning rate:,8.488012499999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,3600,Training Loss:,8.611503283121506, Learning rate:,8.488012499999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,3700,Training Loss:,8.611500400965499, Learning rate:,8.488012499999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,3800,Training Loss:,8.611497519480368, Learning rate:,8.488012499999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,3900,Training Loss:,8.61149463866585, Learning rate:,8.488012499999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4000,Training Loss:,8.611491758521684, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4100,Training Loss:,8.611489023005458, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4200,Training Loss:,8.61148628809376, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4300,Training Loss:,8.611483553786366, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4400,Training Loss:,8.611480820083054, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4500,Training Loss:,8.611478086983597, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4600,Training Loss:,8.611475354487771, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4700,Training Loss:,8.611472622595352, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4800,Training Loss:,8.611469891306118, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4900,Training Loss:,8.611467160619839, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5000,Training Loss:,8.6114644305363, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5100,Training Loss:,8.611461701055267, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5200,Training Loss:,8.611458972176521, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5300,Training Loss:,8.61145624389984, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5400,Training Loss:,8.611453516224998, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5500,Training Loss:,8.611450789151775, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5600,Training Loss:,8.61144806267994, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5700,Training Loss:,8.611445336809277, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5800,Training Loss:,8.611442611539559, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5900,Training Loss:,8.611439886870565, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6000,Training Loss:,8.611437162802074, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6100,Training Loss:,8.611434439333857, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6200,Training Loss:,8.611431716465697, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6300,Training Loss:,8.61142899419737, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6400,Training Loss:,8.61142627252865, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6500,Training Loss:,8.61142355145932, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6600,Training Loss:,8.611420830989152, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6700,Training Loss:,8.611418111117928, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6800,Training Loss:,8.611415391845425, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6900,Training Loss:,8.611412673171419, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7000,Training Loss:,8.611409955095692, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7100,Training Loss:,8.61140723761802, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
