0,0.0021275694016367197
100,0.001260171178728342
200,0.00025808135978877544
300,5.294432048685849e-05
400,3.9986814954318106e-05
500,3.509229645715095e-05
600,3.128743628622033e-05
700,2.770460741885472e-05
800,2.4482909793732688e-05
900,2.1620791812893003e-05
1000,1.9177476133336313e-05
1100,1.689318560238462e-05
1200,1.4754558833374176e-05
1300,1.4697317055833992e-05
1400,1.2702695130428765e-05
1500,1.5036846889415756e-05
1600,1.5103669284144416e-05
1700,1.8195885786553845e-05
1800,7.934469067549799e-06
1900,9.302241778641474e-06
2000,7.066956641210709e-06
2100,6.367017704178579e-06
2200,9.133826097240672e-06
2300,9.157425665762275e-06
2400,6.46570697426796e-06
2500,5.067974598205183e-06
2600,5.6178455452027265e-06
2700,4.533336777967634e-06
2800,4.247970991855254e-06
2900,4.107511358597549e-06
3000,4.755475856654812e-06
3100,4.002393325208686e-06
3200,3.824050509138033e-06
3300,4.431984052644111e-06
3400,3.0148346468195086e-06
3500,2.8723889045068063e-06
3600,2.748188308032695e-06
3700,4.961767899658298e-06
3800,3.86432384402724e-06
3900,9.056366252480075e-06
4000,4.542699116427684e-06
4100,2.485800905560609e-06
4200,4.492148491408443e-06
4300,4.18288573200698e-06
4400,2.1129767446836922e-06
4500,1.839131755332346e-06
4600,1.7783388557290891e-06
4700,1.7572963315615198e-06
4800,1.6301486311931512e-06
4900,1.9018094690181897e-06
5000,2.2945896489545703e-06
5100,1.8301456066183164e-06
5200,2.790850430756109e-06
5300,1.5883252899584477e-06
5400,1.5194775642157765e-06
5500,3.24043548971531e-06
5600,8.455628631054424e-06
5700,1.6169524315046147e-06
5800,5.291796242090641e-06
5900,2.846203187800711e-06
6000,1.311260007241799e-06
6100,4.67152949568117e-06
6200,9.619787988413009e-07
6300,5.183058874536073e-06
6400,1.1156923847011058e-06
6500,8.930008448260196e-07
6600,9.068752433449845e-07
6700,8.518553045178123e-07
6800,1.0077820888909628e-06
6900,6.493122782558203e-06
7000,7.794193948029715e-07
7100,1.1061550821978017e-06
7200,7.773202241878607e-07
7300,4.766802703670692e-06
7400,1.2677591030296753e-06
7500,8.293174573736906e-07
7600,1.1000436188624008e-06
7700,1.0140054200746818e-06
7800,8.124762302941235e-07
7900,5.469587449624669e-06
8000,6.0769912124669645e-06
8100,6.318758209999942e-07
8200,8.206402526411694e-07
8300,1.4380896118382225e-06
8400,6.68577968099271e-07
8500,6.04250942615181e-07
8600,7.301697451111977e-07
8700,1.4552988432114944e-06
8800,5.831645353282511e-07
8900,4.506970071815886e-06
9000,5.71622479128564e-07
9100,5.883702556275239e-07
9200,6.621717716370767e-07
9300,1.5288969734683633e-06
9400,5.509344305210107e-07
9500,5.594724257207417e-07
9600,6.624667889809643e-07
9700,5.909819833505026e-07
9800,5.351933509700757e-07
9900,8.853157851262949e-07
10000,5.241029157332378e-07
10100,5.297436018736335e-07
10200,9.916841463564197e-07
10300,1.4492911759589333e-06
10400,5.087238150736084e-07
10500,5.47335218925582e-07
10600,1.0675724979591905e-06
10700,1.0497159337319317e-06
10800,4.055420959048206e-06
10900,7.956832064337505e-07
11000,5.269336611490871e-07
11100,4.850285222346429e-07
11200,4.782231144417892e-07
11300,5.070069164503366e-07
11400,8.513605394000479e-07
11500,4.893453251497704e-07
11600,4.666131303565635e-07
11700,5.869318329132511e-07
11800,5.146903845343331e-07
11900,4.534458071248082e-07
12000,5.846657131769462e-07
12100,4.4399436660569336e-07
12200,4.58915337731014e-07
12300,8.412432634941069e-07
12400,4.33566896163029e-07
12500,4.705331377863331e-07
12600,4.265000654868345e-07
12700,4.284495105366659e-07
12800,4.180583630386536e-07
12900,4.1985714460679446e-07
13000,4.2527702248662536e-07
13100,4.114688181289239e-07
13200,1.0004227988247294e-05
13300,4.016289381070237e-07
13400,5.217531793277885e-07
13500,3.9294064890782465e-07
13600,4.093000995908369e-07
13700,5.399025440055993e-07
13800,3.8408481373153336e-07
13900,2.3097434223018354e-06
14000,3.7412982578644005e-07
14100,4.2550948364805663e-07
14200,3.6951360016246326e-07
14300,3.6427610439204727e-07
14400,4.734591129818e-06
14500,3.5469849990477087e-07
14600,1.0961964562739013e-06
14700,3.461054802755825e-07
14800,1.8020796233031433e-06
14900,3.381211115538463e-07
15000,1.2848692676925566e-05
15100,3.304335223219823e-07
15200,3.2393865012636525e-07
15300,3.227999059163267e-07
15400,3.1584784210281214e-07
15500,3.634903578131343e-07
15600,3.082872979121021e-07
15700,1.1386730875528883e-05
15800,3.006947508765734e-07
15900,2.9489351049960533e-07
16000,2.9480651164703886e-07
16100,2.864283032977255e-07
16200,3.3386186260031536e-07
16300,2.7843282168760197e-07
16400,5.720894478145055e-07
16500,2.705534996039205e-07
16600,2.4297949039464584e-06
16700,2.6307961320526374e-07
16800,2.8335071533547307e-07
16900,2.5600934350222815e-07
17000,2.5075323151213524e-07
17100,2.50944452773183e-07
17200,2.4366715933865635e-07
17300,2.5122156444012944e-07
17400,2.3684769701048936e-07
17500,2.55154247952305e-07
17600,2.3058757392391271e-07
17700,2.33571910257524e-07
17800,2.2462955939772655e-07
17900,4.1528821270730987e-07
18000,2.1927118609710305e-07
18100,1.3888260355088278e-06
18200,2.1412301975942682e-07
18300,7.618299605383072e-06
18400,2.093278510528762e-07
18500,2.380444641403301e-07
18600,2.0542820777791349e-07
18700,2.046983382797407e-07
18800,2.0092065255994385e-07
18900,2.0903949859985005e-07
19000,1.9661017347516463e-07
19100,1.9326894573623576e-07
19200,1.951069776851e-07
19300,1.947757937159622e-07
19400,1.8856135852729494e-07
19500,6.993977876845747e-07
19600,1.84602996000649e-07
19700,4.987567990610842e-06
19800,1.813660475136203e-07
19900,6.475349891843507e-07
