Epoch:,3400,Training Loss:,9556.419036102872, Learning rate:,0.0030008124999999996, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,3500,Training Loss:,9546.434677953739, Learning rate:,0.0030008124999999996, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,3600,Training Loss:,282865.959522443, Learning rate:,0.0030008124999999996, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,3700,Training Loss:,196198.7772746673, Learning rate:,0.0030008124999999996, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,3800,Training Loss:,9370.821864771773, Learning rate:,0.0030008124999999996, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,3900,Training Loss:,9277.339243720187, Learning rate:,0.0030008124999999996, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4000,Training Loss:,9215.28074076001, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4100,Training Loss:,9161.70782922782, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4200,Training Loss:,9109.144573435162, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4300,Training Loss:,9056.881633097832, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4400,Training Loss:,9004.916960441253, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4500,Training Loss:,8953.245520462895, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4600,Training Loss:,8901.866956344022, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4700,Training Loss:,8850.78349647237, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4800,Training Loss:,8800.006345838556, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,4900,Training Loss:,8749.88842089666, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5000,Training Loss:,8699.641859559204, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5100,Training Loss:,8651.071894407802, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5200,Training Loss:,8609.09538870156, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5300,Training Loss:,8612.755155287978, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5400,Training Loss:,2379425490.7323265, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5500,Training Loss:,86608.74098125227, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5600,Training Loss:,2.287875644335473e+28, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5700,Training Loss:,54540.28604600635, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5800,Training Loss:,15289.176671905692, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,5900,Training Loss:,35946412.4642008, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6000,Training Loss:,88143513924289.66, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6100,Training Loss:,14413.70497163829, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6200,Training Loss:,14324.390609025211, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6300,Training Loss:,14242.691222688005, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6400,Training Loss:,14161.93679843326, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6500,Training Loss:,14081.684064290512, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6600,Training Loss:,14001.80414053286, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6700,Training Loss:,13922.493670416045, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6800,Training Loss:,13846.300426630345, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,6900,Training Loss:,14200.619087333422, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7000,Training Loss:,647238749064424.8, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7100,Training Loss:,13700845981.87355, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7200,Training Loss:,3501890.6519379895, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7300,Training Loss:,38319.083743777395, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7400,Training Loss:,35843.23034353278, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7500,Training Loss:,9170848.677674906, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7600,Training Loss:,13409.67770019294, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7700,Training Loss:,1324207.8558941388, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7800,Training Loss:,279546103358.62396, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7900,Training Loss:,17155.74262367709, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8000,Training Loss:,11410760.951046327, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8100,Training Loss:,7294179.893424006, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8200,Training Loss:,4.8428472132972415e+25, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8300,Training Loss:,12727.05996240754, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8400,Training Loss:,16605.052762323434, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8500,Training Loss:,149829429.13727888, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8600,Training Loss:,12680.922559196473, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8700,Training Loss:,12434.754356082654, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8800,Training Loss:,12525.608631899935, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8900,Training Loss:,35989883.99592611, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9000,Training Loss:,29632.18340654585, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9100,Training Loss:,12409.380811383871, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
